1  , 18720 , 2 , 6187
2  , 21410 , 2 , 5957
3  , 19190 , 2 , 6477
4  , 13730 , 1 , 3182
5  , 17360 , 2 , 6408
6  , 6890 , 0 , 2055
7  , 27450 , 3 , 8532
8  , 38050 , 6 , 14069
9  , 31530 , 4 , 10965
10  , 9910 , 1 , 3321
11  , 39280 , 4 , 12478
12  , 7380 , 0 , 2589
13  , 9590 , 1 , 4516
14  , 7580 , 0 , 2152
15  , 24180 , 2 , 6594
16  , 30650 , 5 , 12690
17  , 23660 , 2 , 6433
18  , 28120 , 3 , 8178
19  , 9780 , 0 , 2219
20  , 24930 , 3 , 7460
21  , 10800 , 1 , 3295
22  , 35990 , 5 , 12629
23  , 22470 , 3 , 9173
24  , 27860 , 3 , 7540
25  , 13730 , 2 , 5485
26  , 31090 , 3 , 7985
27  , 9990 , 0 , 2273
28  , 4610 , 0 , 1254
29  , 6780 , 0 , 2785
30  , 26240 , 3 , 9931
31  , 15370 , 1 , 5365
32  , 6370 , 0 , 2338
33  , 23030 , 2 , 6786
34  , 31030 , 4 , 10616
35  , 19940 , 2 , 6669
36  , 22790 , 3 , 8329
37  , 17850 , 2 , 6255
38  , 16480 , 2 , 5977
39  , 4150 , 0 , 1344
40  , 34840 , 4 , 11279
41  , 24460 , 3 , 9217
42  , 27440 , 3 , 8712
43  , 24050 , 4 , 10302
44  , 7070 , 0 , 1954
45  , 17090 , 2 , 5095
46  , 8960 , 1 , 3448
47  , 9660 , 1 , 4060
48  , 4240 , 0 , 1595
49  , 23350 , 3 , 8960
50  , 23960 , 2 , 6645
51  , 9410 , 1 , 3698
52  , 8700 , 0 , 1824
53  , 22490 , 2 , 6102
54  , 15030 , 1 , 3206
55  , 23020 , 2 , 6429
56  , 29800 , 3 , 8847
57  , 8780 , 0 , 2685
58  , 15940 , 2 , 6848
59  , 12410 , 2 , 4828
60  , 20850 , 4 , 9828
61  , 31450 , 3 , 10167
62  , 9920 , 1 , 2958
63  , 4860 , 0 , 1190
64  , 22540 , 2 , 5895
65  , 18800 , 2 , 6313
66  , 12760 , 1 , 4627